Experiment	Paper	Pathogen	Classification	VOC	PubChem ID	Analytical Method	Sample origin															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	pyrrole	8027	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	3-methyl-1H-pyrrole	12023	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	1-vinyl aziridine	21843	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	"2,3-butanedione"	650	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	benzaldehyde	240	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	acetaldehyde	177	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	methacrolein	6562	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	3-methylbutanal	11552	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	propanal	527	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	3-methyl-2-butenal	61020	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	acrolein	7847	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	butanal	261	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-methylpropanal	6561	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	octanal	454	GC-MS analysis	ATCC 27853															
3	2	Pseudomonas aeruginosa	Gram negative bacterium	2-pentanone	7895	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	isoprene	6557	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	3-methylbutanal	11552	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	2-methylbutanal	7284	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	"2,3,3-trimethylpentane"	11215	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	benzaldehyde	240	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	1-undecene	13190	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	2-pentene	12585	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	"2,3-butanedione"	650	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	2-butanone	6569	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	2-heptanone	8051	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	2-nonanone	13187	GC-MS analysis	ATCC 27853															
4	3	Pseudomonas aeruginosa	Gram negative bacterium	3-methyl-4-(1-methylethenyl)cyclohexane	14299	GC-MS analysis	ATCC 27853															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	2-butanone	6569	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	isoprene	6557	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	2-aminoacetophenone	11952	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl sulfide	1068	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl disulfide	12232	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl trisulfide	19310	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	methyl thiocyanate	11168	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	3-methyl-2-butanone	11251	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	acetophenone	7410	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	methyl thioacetate	73750	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	methyl thiobutanoate	62444	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	hydrogen cyanide	768	GC-MS analysis	unknown															
5	4	Pseudomonas aeruginosa	Gram negative bacterium	2-pentanone	7895	GC-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	acetonitrile	6342	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	acetic acid	176	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	ethylene glycol	174	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	4-methylphenol	2879	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	indole	798	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	2-aminoacetophenone	11952	SIFT-MS analysis	unknown															
6	4	Pseudomonas aeruginosa	Gram negative bacterium	2-pentanone	7895	SIFT-MS analysis	unknown															
7	4	Pseudomonas aeruginosa	Gram negative bacterium	2-nonanone	13187	SESI-MS analysis	unknown															
7	4	Pseudomonas aeruginosa	Gram negative bacterium	2-undecanone	8163	SESI-MS analysis	unknown															
7	4	Pseudomonas aeruginosa	Gram negative bacterium	2-aminoacetophenone	11952	SESI-MS analysis	unknown															
8	60	Pseudomonas aeruginosa	Gram negative bacterium	hydrogen cyanide	768	SIFT-MS analysis	clinical sample															
9	11	Pseudomonas aeruginosa	Gram negative bacterium	methyl thiocyanate	11168	SIFT-MS analysis	clinical sample															
10	5	Pseudomonas aeruginosa	Gram negative bacterium	2-aminoacetophenone	11952	SPME-GC-MS analysis	clinical isolate															
11	6	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	MCC-IMS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	3-methylbutanal	11552	GC-MS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl disulfide	12232	GC-MS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	isopentanol	31260	GC-MS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	benzonitrile	7505	GC-MS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	1-undecene	13190	GC-MS analysis	DSM 4638															
12	6	Pseudomonas aeruginosa	Gram negative bacterium	2-nonanone	13187	GC-MS analysis	DSM 4638															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	DSM 1117															
13	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	DSM 1117															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 1															
14	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 1															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 2															
15	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 2															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 3															
16	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 3															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 4															
17	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 4															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 5															
18	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 5															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 6															
19	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 6															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 7															
20	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 7															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 8															
21	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 8															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 9															
22	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 9															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 10															
23	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 10															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 11															
24	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 11															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	2-phenylacetaldehyde	998	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia	222	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	5-methylheptan-3-one	7822	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	nonanal	31289	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	ammonia (dimer)	not available	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	MCC-IMS analysis	clinical isolate 12															
25	7	Pseudomonas aeruginosa	Gram negative bacterium	2-ethyl-1-hexanol	7720	MCC-IMS analysis	clinical isolate 12															
26	8	Pseudomonas aeruginosa	Gram negative bacterium	2-nonanone	13187	SPME-GC-MS analysis	clinical sample															
26	8	Pseudomonas aeruginosa	Gram negative bacterium	"2,4-dimethyl-1-heptene"	123385	SPME-GC-MS analysis	clinical sample															
26	8	Pseudomonas aeruginosa	Gram negative bacterium	1-heptene	11610	SPME-GC-MS analysis	clinical sample															
26	8	Pseudomonas aeruginosa	Gram negative bacterium	isopentanol	31260	SPME-GC-MS analysis	clinical sample															
26	8	Pseudomonas aeruginosa	Gram negative bacterium	limonene	22311	SPME-GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	ethane	6324	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	propane	6334	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	n-pentane	8003	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	methanol	887	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	ethanol	702	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	2-propanol	3776	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	acetone	180	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	isoprene	6557	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	benzene	241	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	toluene	1140	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	dimethyl sulfide	1068	GC-MS analysis	clinical sample															
27	9	Pseudomonas aeruginosa	Gram negative bacterium	limonene	22311	GC-MS analysis	clinical sample															
28	10	Pseudomonas aeruginosa	Gram negative bacterium	alfa-pinene	6654	SPME and GC-MS analysis	clinical sample															
28	10	Pseudomonas aeruginosa	Gram negative bacterium	"2,2,6-trimethyloctane"	522006	SPME and GC-MS analysis	clinical sample															
28	10	Pseudomonas aeruginosa	Gram negative bacterium	dodecane	8182	SPME and GC-MS analysis	clinical sample															
28	10	Pseudomonas aeruginosa	Gram negative bacterium	4-terpinenol	11230	SPME and GC-MS analysis	clinical sample															
